Benchmark,Agent,Model,Status,Acc,Cost,Note,,,,,,
taubench_airline,TAU-bench FewShot Agent,gemini-2.0-flash,Error,,,,,,,,,
taubench_airline,TAU-bench FewShot Agent,o4-mini-2025-04-16-low,Uploaded,0.48,18.8144266,,,,,,,
taubench_airline,TAU-bench FewShot Agent,o4-mini-2025-04-16-high,Uploaded,0.6,18.921285,,,,,,,
taubench_airline,TAU-bench FewShot Agent,gpt-4o-2024-11-20,Uploaded,0.4,46.47,,,,,,,
taubench_airline,TAU-bench FewShot Agent,gpt-4.1-2025-04-14,Uploaded,0.56,42.576132,,,,,,,
taubench_airline,TAU-bench FewShot Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.34,30.604145,,,,,,,
taubench_airline,TAU-bench FewShot Agent,claude-3-7-sonnet-20250219,Uploaded,0.34,36.45,,,,,,,
taubench_airline,TAU-bench FewShot Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.36,31.749418,,,,,,,
taubench_airline,TAU-bench FewShot Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.6,37.23,,,,,,,
taubench_airline,TAU-bench FewShot Agent,o3-2025-04-16,Uploaded,0.44,237.93,,,,,,,
taubench_airline,HAL Generalist Agent,gemini-2.0-flash,Uploaded,0.22,2.003067,,,,,,, 
taubench_airline,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.22,20.156134,,,,,,,
taubench_airline,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.18,20.574886,,,,,,,
taubench_airline,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.16,17.84996,,,,,,,
taubench_airline,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.18,10.7299175,,,,,,,
taubench_airline,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,0.56,42.105321,,,,,,,
taubench_airline,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.1,30.18,,,,,,,
taubench_airline,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.44,34.581165,,,,,,,
gaia,Open Deep Research,gpt-4.1-2025-04-14,Uploaded,0.503030303,109.87662,,,,,,,
gaia,Open Deep Research,gemini-2.0-flash,Uploaded,0.1939393939,18.8174954,,,,,,,
gaia,Open Deep Research,o3-mini-2025-01-31-low,Uploaded,,,,,,,,,
gaia,Open Deep Research,o3-mini-2025-01-31-high,Uploaded,0.1818181818,57.2400532,,,,,,,
gaia,Open Deep Research,deepseek-ai/DeepSeek-V3,Uploaded,0.284848,76.639202,,,,,,,
gaia,Open Deep Research,deepseek-ai/DeepSeek-R1,Uploaded,0.248485,143.077684,,,,,,,
gaia,Open Deep Research,claude-3-7-sonnet-20250219,Uploaded,0.3696969697,415.151697,,,,,,,
gaia,Open Deep Research,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.357576,113.646582,,,,,,,
gaia,Open Deep Research,o4-mini-2025-04-16-low,Uploaded,0.478788,80.799796,,,,,,,
gaia,Open Deep Research,o3-2025-04-16,Uploaded,0.327273,681.96892,,,,,,,
gaia,Open Deep Research,o4-mini-2025-04-16-high,Uploaded,0.56,184.87,,,,,,,
gaia,HAL Generalist Agent,gemini-2.0-flash,Uploaded,0.327273,7.796711,,,,,,,
gaia,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.49697,74.18968,,,,,,,
gaia,HAL Generalist Agent,o3-mini-2025-01-31-low,Uploaded,0.339394,13.188021,,,,,,,
gaia,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.30303,73.192047,,,,,,,
gaia,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.363636,29.267833,,,,,,,
gaia,HAL Generalist Agent,o3-mini-2025-01-31-high,Uploaded,0.466667,30.367272,,,,,,,
gaia,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.581818,73.255774,,,,,,,
gaia,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.545455,59.39133,,,,,,,
gaia,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,0.563636,130.678222,,,,,,,
gaia,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.642424,122.490232,,,,,,,
usaco,HAL Generalist Agent,gemini-2.0-flash,Done,0.003257,22.365582,,,,,,,
usaco,HAL Generalist Agent,gpt-4.1-2025-04-14,Done,0.19,200,,,,,,,
usaco,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Not done,,,,,,,,,
usaco,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Not done,,,,,,,,,
usaco,HAL Generalist Agent,claude-3-7-sonnet-20250219,Not done,,,,,,,,,
usaco,HAL Generalist Agent,o4-mini-2025-04-16-low,Not done,,,,,,,,,
usaco,HAL Generalist Agent,o3-2025-04-16,Not done,,,,,,,,,
usaco,HAL Generalist Agent,o4-mini-2025-04-16-high,Not done,,,,,,,,,
usaco,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Not done,,,,,,,,,
usaco,Reflexion,gemini-2.0-flash,Uploaded,0.2214983713,0.7501578,,,,,,,
usaco,Reflexion,gpt-4.1-2025-04-14,Uploaded,0.449511,28.095832,,,,,,,
usaco,Reflexion,o3-mini-2025-01-31-low,Uploaded,0.351792,22.490527,,,,,,,
usaco,Reflexion,deepseek-ai/DeepSeek-R1,Uploaded,0.381107,80.04351,,,,,,,
usaco,Reflexion,deepseek-ai/DeepSeek-V3,Uploaded,0.390879,12.078695,,,,,,,
usaco,Reflexion,o4-mini-2025-04-16-low,Uploaded,0.309446,21.142031,,,,,,,
usaco,Reflexion,o4-mini-2025-04-16-high,Uploaded,0.579805,44.038361,,,,,,,
usaco,Reflexion,o3-mini-2025-01-31-high,Uploaded,0.498371,61.86,,,,,,,
usaco,Reflexion,claude-3-7-sonnet-20250219,Uploaded,0.29316,38.704869,,,,,,,
usaco,Reflexion,o3-2025-04-16,Uploaded,0.462541,286.50446,,,,,,,
usaco,Reflexion,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.2671009772,56.427396,,,,,,,
swebench-verified-mini,SWE-Agent,gpt-4o-2024-11-20,Uploaded,0.28,350.72,,,,,,,
swebench-verified-mini,SWE-Agent,o3-mini-2025-01-31-medium,Uploaded,0.4,113.32,,,,,,,
swebench-verified-mini,SWE-Agent,o3-mini-2025-01-31-high,Uploaded,0.46,182.3,,,,,,,
swebench-verified-mini,SWE-Agent,o3-mini-2025-01-31-low,Uploaded,0.3,64.19,,,,,,,
swebench-verified-mini,SWE-Agent,o3-2025-04-16,Uploaded,0.44,421.78,Many tasks failed due to the max-cost limit error,,,,,,
swebench-verified-mini,SWE-Agent,o4-mini-2025-04-16-low,Uploaded,0.54,259.2,,,,,,,
swebench-verified-mini,SWE-Agent,o4-mini-2025-04-16-high,Uploaded,0.5,248.46,,,,,,,
swebench-verified-mini,SWE-Agent,claude-3-7-sonnet-20250219,Uploaded,0.5,402,,,,,,,
swebench-verified-mini,SWE-Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.54,388,,,,,,,
swebench-verified-mini,SWE-Agent,claude-3-7-sonnet-20250219-thinking-low,Uploaded,0.5,489,,,,,,,
swebench-verified-mini,SWE-Agent,gemini-2.0-flash,Uploaded,0.24,4.7,,,,,,,
swebench-verified-mini,SWE-Agent,gpt-4.1-2025-04-14,Uploaded,0.44,393,,,,,,,
swebench-verified-mini,SWE-Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.24,11.77,,,,,,,
swebench-verified-mini,SWE-Agent,deepseek-ai/DeepSeek-R1,Uploaded,0,4.164276,See https://docs.together.ai/docs/deepseek-r1?_gl=1*1g33elf*_gcl_aw*R0NMLjE3NDQ2NjI5MDYuQ2p3S0NBanc1UEtfQmhCQkVpd0FMN0dUUFcyd0hhYXVnX2R1dXZCOUZfY0lfN0xRdzN3OG5uRUhORlRUdzR5ZlIwemE1aDU5UnZyLWVCb0NHNFFRQXZEX0J3RQ..*_gcl_au*MTk2NjYwMjY5MS4xNzQ0NDAwODU3*_ga*MTI4ODg5NjcuMTc0NDQwMDg1Nw..*_ga_BS43X21GZ2*MTc0NDk0Mzc3Ny4xMC4wLjE3NDQ5NDM3ODcuMC4wLjA.*_ga_BBHKJ5V8S0*MTc0NDk0Mzc3Ny4xMC4wLjE3NDQ5NDM3ODcuMC4wLjA.#general-limitations,,,,,,
swebench-verified-mini,SWE-Agent,gemini-2.5-pro-preview-03-25,Error,,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,o3-mini-2025-01-31-high,Uploaded,0,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,o3-mini-2025-01-31-low,Uploaded,0,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,gemini-2.0-flash,Uploaded,,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Uploaded,,,,,,,,,
swebench-verified-mini,HAL Generalist Agent,gemini-2.5-pro-preview-03-25,Error,,,,,,,,,
colbench-backend,Colbench Agent,gpt-4.1-2025-04-14,Uploaded,35.6,14,,,,,,,
colbench-backend,Colbench Agent,o4-mini-2025-04-16-low,Uploaded,30.9,9,,,,,,,
